Episode,Reward
1,-147.5228630143904
2,-305.17123966535223
3,-256.1566984874951
4,-263.4036052420281
5,-263.5917422456547
6,-98.42506724298804
7,-201.06762365824483
8,-127.73457842670555
9,-132.25950576488148
10,-211.02439985027894
11,-64.53908466259519
12,-72.82542713797844
13,31.61977636557802
14,-60.30644242410485
15,-132.1145574792497
16,-179.97614483493868
17,-254.9892223849108
18,-198.03610354110265
19,-200.93691118047727
20,-95.06792223554936
21,-168.54586499565238
22,-162.4958288507011
23,-90.65769500044262
24,-96.23445031168008
25,-67.59938794867999
26,-211.24296300509923
27,-151.6673659163232
28,-137.62920088759137
29,-76.95847339434971
30,-125.921751855978
31,-241.73468881169663
32,-88.05235007439468
33,-104.87485380057481
34,-106.15586397784267
35,-150.5496316392123
36,-105.21348782515139
37,-95.45912608519484
38,-170.44303773496534
39,-69.62264160144032
40,-102.44419368649577
41,-274.52616084539414
42,-137.9076571549459
43,-168.43221082928437
44,-114.14897233371248
45,-208.91498473329898
46,-130.25208033920438
47,-182.99708506100282
48,-95.85741759772861
49,-287.40402017216604
50,-135.98266677867358
51,-170.87400818977198
52,-121.79520369558057
53,-145.46857525770326
54,-79.56093709084675
55,-150.20255068903435
56,-104.31825281353437
57,-87.59753839002788
58,-135.6691514228686
59,-103.03291232345438
60,-80.36494779817065
61,-98.91469681192095
62,-123.65988158067282
63,-308.99600091775636
64,-80.90065719528243
65,-255.07928446358815
66,-103.75644288660433
67,-144.57575736840653
68,-108.3270340292571
69,-307.10666914840374
70,-364.8829159282496
71,-212.96501176959381
72,-384.4502923792981
73,-400.9493949280047
74,-83.67949469263522
75,-102.98213181932613
76,-366.8660634926158
77,-155.0608547551986
78,-162.0202341699844
79,-84.44440887918566
80,-112.5708580870926
81,-217.95426041699767
82,-56.77077372769701
83,-255.9667370574065
84,-106.51728429635438
85,-137.41938618888696
86,-304.5932061518562
87,-129.15212431787327
88,-137.956986636429
89,-144.26731081312317
90,-316.8475167818043
91,-129.62611850585176
92,-126.58334261304832
93,-123.94471155242196
94,-136.70742416600663
95,-200.79933656796777
96,-112.51771485990918
97,-178.91584754668935
98,-63.315873631463774
99,-111.96088513869867
100,-119.86965982930988
101,-192.42651217592922
102,-159.42611204096977
103,-81.93891138357567
104,-119.17473444606986
105,-71.31739928993733
106,-137.70358610639457
107,-136.80387232483014
108,-155.62982908591192
109,-163.19739923206384
110,-48.2863357707986
111,-138.189400101807
112,-79.53152840509884
